tweet_id	reply_id
1000444675436765184	1040075061716287488|
1001147361064882177	1044740435024007173|
1011617862769782784	1044470014231773184|
1012741821158420481	1045075186540834816|
1013049242301227009	1045314469038092288|
1013116439920771074	1044595440908292096|
1015862162462576640	1040713937845710848|
1016745811852562433	1043589615678935040|
1017782727658131458	1039636074795069450|
1018090056723070976	1040251685439000581|
1020509619419009024	1040757937428418560|
1020712686458372096	1040240332233998337|
1020731824895676416	1040313573304684544|
1022028017252663298	1043184943357222912|
1022201428050235392	1043955204704669696|
1022727596298186758	1039844333330022401|
1023161141617410048	1039449535200878592|
1024149384987074560	1040022813296525317|
1024516907523747841	1039988824175198216|
1024662323745771520	1043560560011415553|
1024980223534743552	1044881740668522496|
1025330546082304000	1045233625669795841|
1025788160368754688	1039247043447771136|
1026862883408359429	1040639140558192641|
1027013186623623170	1044695445275136001|
1028398396464394240	1042936115060244481|
1029133227674365952	1040433108649168896|
1029546964331847680	1039770134707982336|
1029853891024887808	1039442406679228416|
1030172500892704768	1043145470120546304|
1031570907645571072	1045041426680111105|
1032239201113268224	1039262958847705089|
1032415130150162432	1039947586692685826|
1032577871649406977	1039862299702439936|
1032729229668933632	1039832794120114177|
1032939136943108096	1044194065284247553|
1032990912706572289	1044932115631153152|
1033019973998788609	1044792371152531456|
1033395434360725504	1044209483776499714|
1033482603658137600	1039979197093961728|
1033813450353532933	1039348149666701312|
1033859817453117440	1039904996303753216|
1033860612076527616	1045143678308757505|
1033897120279875584	1040242849902718978|
1034138144382365702	1044658263999041537|
1034193790385287168	1040292065236709376|
1034582446241734661	1044213297199947776|
1034781504545726464	1039624028544225280|
1035046124934049792	1039269495821426689|
1035378415862464512	1043436702650515456|
1035435053441081344	1039314137363480576|
1035512538262384642	1045096826980962307|
1035521332564381700	1044266126518210560|
1035578643433615361	1045343813953302528|
1035595834845552640	1043897047781437440|
1035624507552280576	1039878217383993344|
1035631844375638017	1044557411518959616|
1035661828821377024	1044733955306672129|
1035728720579899393	1039679787898425345|
1035925846245224449	1044493785353248768|
1035955879428861957	1040572491159293952|
1036081219576815617	1044745636766248961|
1036234936808820736	1039831415150587904|
